genus,group,empire,kingdom,phylum,class,order,family
Bacillaria,Diatom,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae
Nitzschia,Diatom,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae
Tryblionella,Diatom,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae
Achnanthidium,Diatom,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Cocconeidales,Achnanthidiaceae
Planothidium,Diatom,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Cocconeidales,Achnanthidiaceae
Psammothidium,Diatom,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Cocconeidales,Achnanthidiaceae
Cocconeis,Diatom,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Cocconeidales,Cocconeidaceae
Encyonema,Diatom,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae
Geissleria,Diatom,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae
Gomphonema,Diatom,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae
Rhoicosphenia,Diatom,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Cymbellales,Rhoicospheniaceae
Fragilaria,Diatom,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae
Pseudostaurosira,Diatom,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae
Staurosira,Diatom,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae
Licmophora,Diatom,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Licmophorales,Licmophoraceae
Ulnaria,Diatom,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Licmophorales,Ulnariaceae
Gyrosigma,Diatom,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae
Navicula,Diatom,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae
Sellaphora,Diatom,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Sellaphoraceae
Craticula,Diatom,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Stauroneidaceae
Epithemia,Diatom,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae
Entomoneis,Diatom,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Surirellales,Entomoneidaceae
Surirella,Diatom,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Surirellales,Surirellaceae
Diatoma,Diatom,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae
Amphora,Diatom,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae
Skeletonema,Diatom,Eukaryota,Chromista,Bacillariophyta,Bacillariophyceae,Thalassiophysales,Skeletonemataceae
Aulacoseira,Diatom,Eukaryota,Chromista,Bacillariophyta,Coscinodiscophyceae,Aulacoseirales,Aulacoseiraceae
Melosira,Diatom,Eukaryota,Chromista,Bacillariophyta,Coscinodiscophyceae,Melosirales,Melosiraceae
Chaetoceros,Diatom,Eukaryota,Chromista,Bacillariophyta,Mediophyceae,Chaetocerotales,Chaetocerotaceae
Cyclotella,Diatom,Eukaryota,Chromista,Bacillariophyta,Mediophyceae,Stephanodiscales,Stephanodiscaceae
Thalassiosira,Diatom,Eukaryota,Chromista,Bacillariophyta,Mediophyceae,Thalassiosirales,Thalassiosiraceae
Chlamydomonas,Green Algae,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae
Sphaerocystis,Green Algae,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Sphaerocystidaceae
Oedogonium,Green Algae,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Oedogoniales,Oedogoniaceae
Coelastrum,Green Algae,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae
Desmodesmus,Green Algae,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae
Scenedesmus,Green Algae,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae
Tetrastrum,Green Algae,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae
Westella,Green Algae,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae
Ankistrodesmus,Green Algae,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae
Drepanochloris,Green Algae,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae
Kirchneriella,Green Algae,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae
Monoraphidium,Green Algae,Eukaryota,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Selenastraceae
Pedinomonas,Green Algae,Eukaryota,Plantae,Chlorophyta,Pedinophyceae,Pedinomonadales,Pedinomonadaceae
Pyramimonas,Green Algae,Eukaryota,Plantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae
Actinastrum,Green Algae,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae
Chlorella,Green Algae,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae
Lagerheimia,Green Algae,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Oocystaceae
Oocystis,Green Algae,Eukaryota,Plantae,Chlorophyta,Trebouxiophyceae,Chlorellales,Oocystaceae
Strobilidium,Other,Eukaryota,Chromista,Ciliophora,Ciliatea,Oligotrichida,Strobilidiidae
Cryptomonas,Cryptophytes,Eukaryota,Chromista,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae
Chroomonas,Cryptophytes,Eukaryota,Chromista,Cryptophyta,Cryptophyceae,Cryptomonadales,Hemiselmidaceae
Hemiselmis,Cryptophytes,Eukaryota,Chromista,Cryptophyta,Cryptophyceae,Cryptomonadales,Hemiselmidaceae
Plagioselmis,Cryptophytes,Eukaryota,Chromista,Cryptophyta,Cryptophyceae,Pyrenomonadales,Geminigeraceae
Rhodomonas,Cryptophytes,Eukaryota,Chromista,Cryptophyta,Cryptophyceae,Pyrenomonadales,Pyrenomonadaceae
Chroococcus,Blue-green Algae,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae
Microcystis,Blue-green Algae,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Microcystaceae
Aphanizomenon,Blue-green Algae,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Nostocales,Aphanizomenonaceae
Planktothrix,Blue-green Algae,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Oscillatoriales,Microcoleaceae
Snowella,Blue-green Algae,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Coelosphaeriaceae
Heteroleibleinia,Blue-green Algae,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Heteroleibleiniaceae
Leptolyngbya,Blue-green Algae,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Leptolyngbyaceae
Planktolyngbya,Blue-green Algae,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Leptolyngbyaceae
Merismopedia,Blue-green Algae,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae
Eucapsis,Blue-green Algae,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae
Pseudanabaena,Blue-green Algae,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Pseudanabaenaceae
Cyanodictyon,Blue-green Algae,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae
Synechococcus,Blue-green Algae,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae
Trachelomonas,Other,Eukaryota,Protozoa,Euglenozoa,Euglenophyceae,Euglenales ,Euglenaceae
Chrysochromulina,Other,Eukaryota,Chromista,Haptophyta,Coccolithophyceae,Prymnesiales,Chrysochromulinaceae
Gymnodinium,Other,Eukaryota,Chromista,Miozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae
Peridinium,Other,Eukaryota,Chromista,Miozoa,Dinophyceae,Peridiniales,Peridiniaceae
Ochromonas,Other,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Chromulinaceae
Chrysococcus,Other,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae
Kephyrion,Other,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae
Amoeba,Other,Eukaryota,Amoebozoa,Tubulinea,Loboda, Tubulinida,Amoebidae
